Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
CH 449	Washington Mine	44.3614	-114.6992	160370324	N/A	236
CH 450	Wonder	44.36	-114.6906	160370325	N/A	242
CH 451	Blind Ledge North Prospect	44.2864	-114.9528	160370182	W014496	252
CH 452	Blind Ledge Prospect	44.2842	-114.9497	160370183	W014497	254
CH 453	Lynch Prospect	44.2822	-114.9497	160370362	W014346	255
CH 454	Rodman Prospect	44.2811	-114.9522	160370545	W014498	257
CH 455	Mamouth No. 2 Prospect	44.2789	-114.9586	160370124	W014499	258
CH 456	Mamouth No. 1 Prospect	44.2769	-114.9489	160370125	W014500	261
CH 457	Mountain Vein Prospect (Pocket)	44.2758	-114.9564	160370366	W014183	259
CH 458	Buckley Bar Placer	44.285	-114.9433	160370360	W014151	253
CH 459	Willis Diggings	44.2803	-114.94	160370363	M055221	256
CH 460	Ham Fat Placer	44.2706	-114.9489	160370361	W014152	262
CH 461	East Storlie Prospect	44.2681	-114.9483	160370126	W014501	263
CH 462	Stanley 5 Bars Placer (Stanley Five Bars Placer)	44.2653	-114.9486	N/A	N/A	N/A
CH 463	Stanley Creek Placer (Wormak's Dredge; Wormack Dredge; Willis Dredge; Stanley Dredge)	44.2597	-114.9692	160370127	W014347	274
CH 464	Chinese Workings	44.2889	-114.8997	160370354	W014345	280
CH 465	Weidman Workings (Sturkey; Progressive)	44.2831	-114.9169	160370355	W014147	265
CH 466	Sturkey Diggings (Starkey)	44.2814	-114.9214	160370357	W014148	266
CH 467	Doran Gulch Placer	44.2778	-114.9306	160370351	W014190	267
CH 468	Silver Dollar Mine	44.2772	-114.9261	160370358	W014149	268
CH 469	Kelly and Joe	44.275	-114.9167	160370965	N/A	N/A
CH 470	Unnamed prospect	44.275	-114.9331	160370365	N/A	269
CH 471	Wonder 19 Extended	44.2731	-114.9292	160370988	N/A	N/A
CH 472	Kelley Creek Placer	44.2717	-114.9256	160370132	W014161	270
CH 473	Willow Flats Placer (Willow Group; Willis Group)	44.2647	-114.9317	160370359	W014150	272
CH 474	Iron Crown Mine	44.2631	-114.915	160370367	W014153	271
CH 475	Klondyke Prospect	44.26	-114.9386	160370128	W014502	273
CH 476	Bronco Mine (Apex; Golden Nugget; Mountain Girl)	44.2514	-114.955	160370373	W014154	275
CH 477	Nip and Tuck Prospect	44.2489	-114.9428	160370129	W014504	276
CH 478	Poorman Prospect	44.2397	-114.9486	160370130	W014506	277
CH 479	Aspen Prospect	44.2342	-114.9608	160370131	W014505	278
CH 480	Kelly Creek	44.2886	-114.8733	160370385	N/A	281
CH 481	Lucky Strike Prospects	44.2878	-114.8378	160370384	W014160	282
CH 482	Upper Noho Creek Prospect	44.2683	-114.8953	160370368	W014348	284
CH 483	Horseshoe Claims (Bright Star Nos. 6, 10, 15)	44.2708	-114.8733	160370369	W014349	283
CH 484	Copper Creek Occurrence	44.2703	-114.8678	160370029	N/A	N/A
CH 485	Hide Out Prospect	44.2675	-114.8589	160370386	W014162	290
CH 486	Lynch Creek Fluorspar Occurrence	44.2667	-114.8689	160370539	W014427	289
CH 487	Unnamed prospect	44.265	-114.8783	160370184	N/A	N/A
CH 488	McClure No. 2 Occurrence	44.2636	-114.8703	160370387	W014357	291
CH 489	Bright Star Mine (Bright Star No. 3; Brindle Pup Group)	44.2592	-114.8628	160370398	W014169	293
CH 491	Elkhorn Claims	44.2561	-114.8853	160370370	W014350	286
CH 492	Joes Gulch Placer (Lucky Strike; Hot Stuff; Hershey; Joe's Gulch Placer)	44.2428	-114.9028	160370371	W014351	287
CH 493	Four Aces Placer (Four Acre Placer)	44.2386	-114.8992	160371037	W014517	288
CH 494	Nip and Tuck Creek Placer (Gold Bar)	44.2344	-114.9236	160371036	W014516	279
CH 495	Mormon Bend Placer	44.2619	-114.8408	160371038	W014518	292
CH 496	Gold Chance Mine	44.2547	-114.8456	160370395	W014167	295
CH 497	Elizabeth (Giant Spar Group)	44.2525	-114.8556	N/A	FS00424	296
CH 498	Casino Creeks Fluorite	44.2511	-114.8528	160370393	N/A	298
CH 499	Phemspace Group	44.2508	-114.8583	N/A	N/A	N/A
CH 500	Giant Spar Mine	44.25	-114.8558	160370394	W014166	299
CH 501	Homestake Mine	44.2492	-114.8586	160370399	W014170	300
CH 502	Upper Ten	44.2442	-114.8492	160370397	N/A	301
CH 503	Big Casino Placer	44.2436	-114.8453	160371025	W014360	302
CH 504	Little Casino Creek Placer	44.2406	-114.8578	160370396	W014359	297
CH 505	Vaught Prospect (Gold Coin)	44.2375	-114.8614	160370429	W014176	304
CH 506	B and R Prospect	44.2372	-114.8572	160370133	W014508	303
CH 507	Silver Bell Group	44.2342	-114.5758	160371027	N/A	306
CH 508	Old Dutchman Prospect	44.2333	-114.5878	160370134	W014455	305
CH 509	1 Pit Prospect (One Pit Prospect)	44.2314	-114.5911	160371028	W014456	307
CH 510	Silver Bell Group	44.2261	-114.5894	160370556	W014429	308
CH 511	Rich Vein Prospect	44.2247	-114.6011	160370135	W014457	309
CH 512	Orphan Boy Prospect	44.2203	-114.595	160370136	W014453	310
CH 513	Mayflower	44.2133	-114.5925	160371029	N/A	311
CH 514	Gold-Silver Prospect	44.2083	-114.5547	160370137	W015424	312
CH 515	Sheephead Prospect	44.2086	-114.6133	160370138	W014452	313
CH 517	Knob Hill Prospect	44.2014	-114.5958	160370139	W014449	315
CH 518	Slate Creek Placer	44.1989	-114.6017	160370140	W014524	316
CH 519	Knob Hill No. 1 Prospect	44.1961	-114.5703	160370557	W014448	317
CH 520	Copper Prospect	44.1911	-114.5997	160370146	W014188	318
CH 521	Lucky Strike Prospect	44.1864	-114.605	160370141	W014187	320
CH 522	Bonita Group	44.1853	-114.5953	160370143	W014447	322
CH 523	Silver Prospect	44.1822	-114.6064	160370142	W014450	321
CH 524	Copper Group Prospect	44.1794	-114.5958	160370147	N/A	N/A
CH 525	Copper Group Prospect	44.1756	-114.595	160370147	N/A	N/A
CH 526	Copper Group Prospect	44.1744	-114.5994	160370147	N/A	N/A
CH 527	Copper Group Prospects	44.1728	-114.5956	160370147	W014446	327
CH 528	Copper Group Prospect	44.1717	-114.5983	160370147	N/A	N/A
CH 529	Carbonate Mine (Cal-Ida)	44.1881	-114.5697	160370433	W014186	319
CH 530	Slate Creek Prospect	44.1819	-114.5681	160370144	W014445	323
