Sequence Number	Deposit	Latitude	Longitude	MILSREF	MRDSREC	Orange Number
DU 444	Warm Creek Prospect	44.3044	-113.3158	160590858	N/A	N/A
DU 445	Argalite	44.2583	-113.1731	160590895	N/A	N/A
DU 446	Copper Bluff Mine (Bornite; Bell Mtn.)	44.2431	-113.2339	160590859	N/A	N/A
DU 447	Magpie Springs Prospect	44.2358	-113.2717	160590893	N/A	N/A
DU 449	Copper Bell	44.2372	-113.1861	160590856	N/A	N/A
DU 450	Silver Bell	44.2403	-113.1603	160590894	N/A	N/A
DU 473	Park Adit	44.3933	-112.8956	160590836	N/A	N/A
DU 474	Coons Canyon	44.3878	-112.9656	160590833	N/A	N/A
DU 476	Clark and Rossi Property (Pride of the Hills; Jerry Claims)	44.3736	-112.9686	160590328	W015715	372
DU 477	Climax Group (Shear Brothers)	44.3711	-112.9742	160590331	W015803	373
DU 478	Clipper Property	44.3681	-112.9675	160590333	W015718	375
DU 479	Viola Mine (Nicholia-Viola Mine; Nicholia Mine; Viola Zinc Property)	44.3714	-112.9747	160590330	W015717	374
DU 482	Ida Prospect (Salmon Lode`)	44.3647	-112.9769	160590329	W015716	378
DU 483	Nicholia Fraction	44.3633	-112.9664	160590334	W015719	379
DU 484	Enterprise Property	44.3581	-112.9639	160590336	W015721	383
DU 487	Eidelman Property (Clear Grit)	44.3456	-112.9694	160590335	W015720	382
DU 488	Irene Mining Claim	44.3433	-112.9614	160590408	N/A	384
DU 490	Worthing-Kaufman Mine (Kaufman-Weaver; Worthing and Weaver; Kaufman; Weaver)	44.2317	-112.8697	160590403	W015804	442
DU 569	Unnamed thorium deposit	44.9828	-113.5081	160590754	N/A	38
DU 570	Liberty Group	44.4522	-113.2847	N/A	N/A	38
EC 401	Grunter Mine (Shoup)	45.3736	-114.2889	160590011	W014860	256
EC 402	Lost Miner Deposit	45.3722	-114.2964	160590600	W015063	257
EC 403	Margaret Mine (Brittannic Mining Co.)	45.3706	-114.2983	160590601	W015065	258
EC 404	Clipper Bullion Mine	45.3686	-114.2764	160590284	W013499	261
EC 405	Speculation Mine (Brittannic Mining Co.)	45.3683	-114.2975	160590602	W015066	259
EC 406	Brittanic Mine (Brittannic Mining Co.)	45.3675	-114.2953	N/A	W015064	260
EC 407	Kentuck Mine	45.3719	-114.2967	160590587	W014858	263
EC 408	Boulder	45.3653	-114.3031	160590030	N/A	264
EC 409	Hempstead Claims	45.3639	-114.3094	160590120	N/A	262
EC 410	Gold Hill Mine (Kentuck and Speculation)	45.3706	-114.2897	160590588	N/A	272
EC 412	Hegstead Prospects	45.3658	-114.2914	N/A	N/A	1222
EC 413	Grubstake No. 1 Claim (Clean Gold)	45.3628	-114.2942	160590604	W015070	265
EC 414	Grubstake No. 2 Claim (Continental; Fereaco)	45.3606	-114.2897	160590605	W015071	266
EC 415	Pine Creek Property	45.3567	-114.2842	160590606	W015072	267
EC 416	Big Lead Mine (Langal)	45.3569	-114.2794	160590279	W013498	268
EC 417	Ready Cash Deposit	45.3528	-114.2872	160590607	W015073	269
EC 418	Wall Street Deposit	45.3481	-114.2822	160590608	W015074	270
EC 419	Lower Pine Creek Placer	45.345	-114.2686	160590609	W015042	271
EC 420	Dusty Claims (Nickel Point)	45.1417	-114.3314	160590061	W013477	275
EC 421	Anaconda Claim (Blackbird Mine)	45.1406	-114.3356	160590060	W013476	274
EC 422	Dewey Claims (Blackbird Mine)	45.1386	-114.3256	160590062	W013478	276
EC 423	Tom Jefferson Claims	45.1325	-114.3431	160590067	W013483	290
EC 424	Sunshine Claims (Blackbird Mine)	45.1314	-114.3675	160590058	W013474	273
EC 425	Brown Bear Mine (Blackbird Mine)	45.1306	-114.3544	160590059	W013475	279
EC 426	Calera Mine (Blackbird Mine)	45.1289	-114.3533	160590610	W000726	280
EC 427	Katherine Prospect (Blackbird Mine; Catherine)	45.1278	-114.3667	160590057	W013473	277
EC 428	Chicago Mine (Blackbird Mine)	45.1275	-114.3522	160590070	W013486	281
EC 429	Indian Adit	45.1275	-114.3375	N/A	N/A	291
EC 430	Merle Zone (Blackbird Mine)	45.1253	-114.3353	160590613	W013530	293
EC 431	High Five Prospect	45.125	-114.3386	160590066	W013482	292
EC 432	Howe Sound Adit Mine (Blackbird Mine)	45.1247	-114.35	160590611	W013493	286
EC 433	Blackbird Mine (Blacktail; Idaho; Horseshoe; Brown Bear; Chicago; Dandy; Calera Mining Co.)	45.1231	-114.3478	160590012	M060825	283
EC 434	Bryan-Columbus Claims (Bryan Claim)	45.1228	-114.3511	160590069	W013485	282
EC 435	Ella Prospect (Blackbird Mine)	45.1214	-114.3614	160590073	W013489	278
EC 436	St. Joe Prospect (Blackbird Mine)	45.1208	-114.3497	160590071	W013487	284
EC 437	Northfield Prospect (Stevenson; Merle 3 and 4)	45.1219	-114.3322	160590418	W000725	294
EC 438	Copper Queen Claim (Blackbird Mine)	45.1219	-114.3269	160590063	W013479	295
EC 439	Bohannon Prospect (Gray Eagle; Blackbird Mine)	45.1192	-114.3472	160590068	W013484	285
EC 440	Hawkeye Prospects (Blackbird Mine)	45.1178	-114.3414	160590065	W013481	287
EC 441	Uncle Sam Mine (DuBoise Group)	45.1167	-114.3478	N/A	N/A	288
EC 442	Togo Claim	45.1153	-114.3433	160590612	W026791	289
EC 443	Haynes-Stellite Mine (Bellielle; Cobalt Mine; Mona Group; Big Nickel)	45.1122	-114.3169	160590075	W000724	296
EC 980	Burnt Stump Group & Alta Group Lodes	45.4228	-114.7089	160590666	W014888	619
EC 986	Middle Fork Placer	45.2956	-114.5992	160490691	W015310	624
EC 987	Blue Mine	45.2936	-114.5936	160590041	W014870	625
EC1002	Rattlesnake Ridge Prospect	45.0572	-114.7197	160590422	W015313	789
EC1005	Rock Chuck Place	45.0556	-114.7058	160590585	N/A	787
EC1007	Survey Creek Bar Placer	45.0525	-114.7222	160590681	W015402	791
EC1014	Sundown	45.0336	-114.7211	160590574	N/A	796
EC1016	Deckie Prospect	45.03	-114.7186	160850334	W015312	798
EC1017	Cathedral Rock	45.1358	-114.5822	160590053	N/A	781
EC1018	Explorer Group	45.1114	-114.5275	160850478	W013472	799
EC1019	Rainbow Claim (Crags; Cathedral Rock)	45.1061	-114.525	160590054	W013510	800
EC1020	Yellowjacket Mountains Area (Large Concentration)	45.1003	-114.5103	160590417	N/A	801
EC1021	Twin Cove Lake-Ramshorn Lake Occurrence	45.0903	-114.6114	160590556	W015309	802
EC1022	Old Johnson Lode Prospect	45.0525	-114.6561	160590432	W015305	803
EC1023	Johnson Lode Prospect	45.0467	-114.6597	160590432	W015306	804
EC1024	Langley Bar Placer (Langley Placer)	45.0464	-114.6089	160590566	W015308	805
EC1025	Nebraska	45.0411	-114.6203	160590565	N/A	806
EC1026	Wilson Creek Placer	45.0331	-114.6397	160590567	N/A	794
EC1027	Lucky Hunter Group	45.0269	-114.6017	160590557	W015304	808
EC1028	Unnamed placer	45.0431	-114.5583	160590568	N/A	807
EC1030	Black Eagle Mine	45.0122	-114.5511	160590338	W015218	809
EC1031	Parks Prospect (Park Mine; Mayfield)	45.0119	-114.5444	160590105	W015217	810
EC1034	Horse Creek Mine (Blue Plate Mine)	45.4992	-114.4269	N/A	N/A	1009
EC1036	St. Clair Mine (Gold Bug)	45.4575	-114.4503	160590022	N/A	811
EC1037	Upper Owl Creek	45.4522	-114.3933	N/A	N/A	812
EC1038	Boulder Creek Placer (Boulder Placers)	45.4319	-114.3675	160590029	W015186	822
EC1039	Bowen Creek Placer	45.4317	-114.38	N/A	N/A	817
EC1040	Discovery Gulch Placer	45.4269	-114.3803	N/A	N/A	819
EC1041	Fool Hen Gulch Placer	45.4236	-114.3725	160590686	W015041	823
EC1042	Owl Creek Meadows Placer	45.3897	-114.4678	N/A	N/A	833
EC1043	Gold Bug Mine	45.3867	-114.5153	160590431	N/A	834
EC1044	Nabob Mine	45.3744	-114.3897	160590459	N/A	829
EC1046	Jameieson Deposit	45.3583	-114.3553	160590688	W015067	830
EC1047	Rowe Property	45.3547	-114.3344	160590689	W015069	831
EC1049	Coan Property	45.3503	-114.3369	160590690	W015068	832
EC1051	Golden Queen Placer	45.3228	-114.4294	160590024	W013463	846
EC1053	Garden Creek Placer	45.3119	-114.4061	160590019	W013459	847
EC1054	Bear Gulch Fan	45.3039	-114.3972	160590202	W013467	848
