"SequenceNumber","Names","NameKey","CompositeName","Metric","AutoNumber","Initials"
"DU0147","Chief Tendoy Group","DU0147-01960","Chief Tendoy Group (No. 122 Thorium Deposit)",1,3672,
"DU0147","No. 122 Thorium Deposit","DU0147-07617","Chief Tendoy Group (No. 122 Thorium Deposit)",1,3673,
"DU0148","Mining Claim No. 7","DU0148-07064","Mining Claim No. 7",1,3674,
"DU0149","Welco No. 10","DU0149-12405","Welco No. 10",1,3675,
"DU0150","Welco Nos. 8 and 9","DU0150-12407","Welco Nos. 8 and 9",1,3676,
"DU0151","Unnamed prospect","DU0151-11895","Unnamed prospect",1,3677,
"DU0152","Chief Tendoy Group","DU0152-01961","Chief Tendoy Group (No. 126 Thorium Deposit)",1,3678,
"DU0152","No. 126 Thorium Deposit","DU0152-07618","Chief Tendoy Group (No. 126 Thorium Deposit)",1,3679,
"DU0153","Unnamed prospects","DU0153-11918","Unnamed prospects",1,3680,
"DU0154","Ruby Red Claim","DU0154-09306","Ruby Red Claim",1,3681,
"DU0155","No. 128 Thorium Deposit","DU0155-07619","No. 128 Thorium Deposit",1,3682,
"DU0156","No. 129 Thorium Deposit","DU0156-07620","No. 129 Thorium Deposit",1,3683,
"DU0157","No. 134 Thorium Deposit","DU0157-07622","No. 134 Thorium Deposit",1,3684,
"DU0158","Welco No. 7","DU0158-12406","Welco No. 7",1,3685,
"DU0159","Mohock","DU0159-07122","Mohock",1,3686,
"DU0160","No. 135 Thorium Deposit","DU0160-07623","No. 135 Thorium Deposit",1,3687,
"DU0161","Divide Group","DU0161-02889","Divide Group",1,3688,
"DU0162","Spring Canyon Nos. 1 and 2","DU0162-10277","Spring Canyon Nos. 1 and 2",1,3689,
"DU0163","Chief Tendoy Group","DU0163-01962","Lookout No. 1 (Chief Tendoy Group)",1,3690,
"DU0163","Lookout No. 1","DU0163-06315","Lookout No. 1 (Chief Tendoy Group)",1,3691,
"DU0305","Lucky Boy Prospect","DU0305-06448","Lucky Boy Prospect (Lucky Five)",1,3878,
"DU0305","Lucky Five","DU0305-06466","Lucky Boy Prospect (Lucky Five)",1,3879,
"DU0306","Bluebird Prospect","DU0306-01223","Bluebird Prospect (Marsha Iron)",1,3880,
"DU0306","Marsha Iron","DU0306-06725","Bluebird Prospect (Marsha Iron)",1,3881,
"DU0307","Second Chance","DU0307-09501","Second Chance",1,3882,
"DU0308","Sunny Slope No. 3","DU0308-10570","Sunny Slope No. 3",1,3883,
"DU0309","Unnamed prospect","DU0309-11793","Unnamed prospect",1,3884,
"DU0310","Copper Mountain","DU0310-02388","Copper Mountain",1,3885,
"DU0311","Doubtful","DU0311-02954","Doubtful",1,3886,
"DU0312","Black Rock Prospect","DU0312-01022","Black Rock Prospect",1,3887,
"DU0313","Hamilton & Ellis Uranium Prospect","DU0313-04514","Hamilton Uranium Deposits (Hamilton & Ellis Uranium Prospect)",1,3888,
"DU0313","Hamilton Uranium Deposits","DU0313-04515","Hamilton Uranium Deposits (Hamilton & Ellis Uranium Prospect)",1,3889,
"DU0314","Magnum Mining Corp.","DU0314-06611","Nest Egg (Magnum Mining Corp.)",1,3890,
"DU0314","Nest Egg","DU0314-07489","Nest Egg (Magnum Mining Corp.)",1,3891,
"DU0315","Unnamed prospect","DU0315-11800","Unnamed prospect",1,3892,
"DU0316","Hematite","DU0316-04661","Hematite",1,3893,
"DU0317","Elmira Mine","DU0317-03254","Elmira Mine",1,3894,
"DU0318","Buckhorn Mine","DU0318-01487","Buckhorn Mine",1,3896,
"DU0319","Unnamed mine","DU0319-11444","Unnamed mine",1,3897,
"DU0320","High Bell Mine","DU0320-04747","High Bell Mine",1,3898,
"DU0321","Maryland Mine","DU0321-06747","Maryland Mine",1,3899,
"DU0322","Commodore Mine","DU0322-02248","Commodore Mine (Homestake)",1,3900,
"DU0323","Oklahoma","DU0323-07828","Oklahoma",1,3901,
"DU0324","Ramshorn","DU0324-08891","Ramshorn",1,3902,
"DU0325","Tinhorn Mine","DU0325-10874","Tinhorn Mine",1,3903,
"DU0326","Unnamed prospects","DU0326-11916","Unnamed prospects",1,3904,
